score_id,supplier_id,fiscal_year,quarter,otd_score,quality_score,cost_score,responsiveness_score,sustainability_score,composite_score,incidents_reported
SC000662,SUP0042,2022,2,65.85,94.15,82.68,61.99,58.36,76.57,5
SC000663,SUP0042,2022,3,61.23,91.38,95.62,94.74,78.42,82.22,5
SC000664,SUP0042,2022,4,79.61,95.66,73.1,97.37,51.6,82.1,0
SC000665,SUP0042,2023,1,89.35,87.62,85.09,88.8,88.64,87.85,3
SC000666,SUP0042,2023,2,55.92,87.53,92.52,64.68,81.52,76.16,1
SC000667,SUP0042,2023,3,94.84,85.42,74.51,83.25,75.72,84.88,1
SC000668,SUP0042,2023,4,65.77,90.02,73.61,96.44,77.82,78.88,0
SC000669,SUP0042,2024,1,67.48,85.64,78.37,63.33,98.05,77.75,4
SC000670,SUP0042,2024,2,79.66,96.28,88.02,67.72,84.15,85.57,5
SC000671,SUP0042,2024,3,98.61,92.34,75.92,93.43,92.34,91.05,2
SC000672,SUP0042,2024,4,75.42,90.73,94.93,68.68,76.57,83.36,2
SC000673,SUP0043,2021,1,56.11,99.46,70.81,84.03,62.68,75.5,4
SC000674,SUP0043,2021,2,77.98,86.5,96.75,70.96,67.42,82.53,5
SC000675,SUP0043,2021,3,64.21,89.36,92.44,86.81,69.56,80.2,2
SC000676,SUP0043,2021,4,68.81,87.92,97.17,66.3,81.38,81.22,5
SC000677,SUP0043,2022,1,66.94,91.32,93.96,97.88,92.05,85.26,4
SC000678,SUP0043,2022,2,77.0,97.99,95.26,65.62,71.5,85.26,1
SC000679,SUP0043,2022,3,81.16,93.09,90.76,90.05,59.4,85.37,0
SC000680,SUP0043,2022,4,73.53,90.09,76.2,94.75,63.39,80.14,5
SC000681,SUP0043,2023,1,88.31,87.24,74.1,68.83,86.83,83.05,3
SC000682,SUP0043,2023,2,64.27,94.78,81.92,97.77,59.38,79.81,2
SC000683,SUP0043,2023,3,83.18,89.9,72.52,71.54,86.88,82.27,0
SC000684,SUP0043,2023,4,58.03,85.11,78.47,60.28,67.17,71.38,0
SC000685,SUP0043,2024,1,60.13,89.54,89.71,90.52,84.62,80.36,1
SC000686,SUP0043,2024,2,62.15,87.94,90.64,78.31,57.98,76.78,5
SC000687,SUP0043,2024,3,59.03,99.03,98.42,83.43,84.82,83.93,5
SC000688,SUP0043,2024,4,82.8,97.95,80.0,95.28,54.01,85.15,2
SC000689,SUP0044,2021,1,70.69,93.64,94.01,61.42,69.13,81.16,0
SC000690,SUP0044,2021,2,82.79,86.19,98.21,61.79,75.28,84.04,4
SC000691,SUP0044,2021,3,82.27,93.66,75.88,83.79,77.82,84.12,4
SC000692,SUP0044,2021,4,89.58,96.71,87.95,79.37,85.62,89.98,1
SC000693,SUP0044,2022,1,82.89,97.84,82.94,96.45,57.21,86.17,2
SC000694,SUP0044,2022,2,82.68,96.57,84.9,78.66,62.08,84.83,1
SC000695,SUP0044,2022,3,71.06,88.56,73.16,62.68,94.82,78.27,1
SC000696,SUP0044,2022,4,58.97,92.92,79.03,68.13,86.57,76.84,2
SC000697,SUP0044,2023,1,99.52,91.79,84.75,64.25,57.82,86.55,3
SC000698,SUP0044,2023,2,75.16,98.13,97.9,62.39,89.47,86.75,1
SC000699,SUP0044,2023,3,90.96,99.49,73.91,69.97,73.23,86.24,5
SC000700,SUP0044,2023,4,71.98,99.29,83.1,91.58,89.75,86.13,0
SC000701,SUP0044,2024,1,83.12,93.35,77.25,64.69,77.13,82.57,0
SC000702,SUP0044,2024,2,84.8,92.39,77.93,94.11,90.63,87.22,4
SC000703,SUP0044,2024,3,81.74,87.23,84.14,91.09,92.5,85.88,2
SC000704,SUP0044,2024,4,67.14,86.69,91.63,72.08,85.61,80.24,0
SC000705,SUP0045,2021,1,63.81,89.45,88.5,71.31,60.08,76.82,5
SC000706,SUP0045,2021,2,69.59,97.6,72.86,97.6,51.79,79.67,0
SC000707,SUP0045,2021,3,59.27,97.75,94.69,85.1,97.57,84.31,1
SC000708,SUP0045,2021,4,73.53,88.78,87.48,84.69,91.1,83.77,3
SC000709,SUP0045,2022,1,96.1,97.05,97.72,87.56,94.92,95.74,3
SC000710,SUP0045,2022,2,69.7,91.92,85.07,72.48,71.67,79.92,2
SC000711,SUP0045,2022,3,69.92,87.49,94.14,93.76,86.45,84.07,0
SC000712,SUP0045,2022,4,78.42,97.01,88.61,97.6,87.41,88.85,1
SC000713,SUP0045,2023,1,62.25,97.79,97.41,98.05,80.27,85.33,5
SC000714,SUP0045,2023,2,97.98,96.52,94.83,82.13,78.52,93.38,5
SC000715,SUP0045,2023,3,67.31,93.51,87.52,89.42,50.28,79.72,1
SC000716,SUP0045,2023,4,66.89,97.56,72.9,82.41,90.65,81.22,1
SC000717,SUP0045,2024,1,57.06,95.04,82.78,61.42,98.81,78.21,5
SC000718,SUP0045,2024,2,89.63,99.49,91.53,76.72,88.07,91.52,1
SC000719,SUP0045,2024,3,60.62,87.54,91.75,88.57,94.72,81.13,5
SC000720,SUP0045,2024,4,88.45,98.51,93.77,72.78,90.5,91.17,4
SC000721,SUP0046,2021,1,99.93,98.74,72.65,83.4,53.78,87.85,5
SC000722,SUP0046,2021,2,94.03,97.71,99.93,73.22,92.3,94.06,3
SC000723,SUP0046,2021,3,83.07,92.04,72.93,75.88,68.79,81.59,3
SC000724,SUP0046,2021,4,88.02,98.26,74.23,73.38,62.89,84.36,4
SC000725,SUP0046,2022,1,56.38,98.64,70.72,91.74,73.77,77.2,0
SC000726,SUP0046,2022,2,75.84,88.23,96.03,76.83,92.27,85.34,4
SC000727,SUP0046,2022,3,84.59,90.76,88.83,98.23,64.77,86.67,3
SC000728,SUP0046,2022,4,99.2,85.33,82.83,83.0,67.49,86.97,5
SC000729,SUP0046,2023,1,89.95,96.32,70.46,63.01,96.93,85.97,2
SC000730,SUP0046,2023,2,55.51,85.86,71.14,93.78,85.03,74.52,1
SC000731,SUP0046,2023,3,85.12,87.05,96.6,98.63,75.68,88.4,5
SC000732,SUP0046,2023,4,58.79,91.92,88.07,72.16,61.74,76.22,0
SC000733,SUP0046,2024,1,64.76,87.91,90.66,90.69,82.85,81.29,2
SC000734,SUP0046,2024,2,89.55,91.35,76.69,79.84,60.06,83.6,3
SC000735,SUP0046,2024,3,71.38,86.66,87.93,61.41,73.8,78.52,2
SC000736,SUP0046,2024,4,80.09,98.12,83.53,91.68,63.86,85.72,2
SC000737,SUP0047,2021,1,80.59,96.49,89.89,90.24,60.61,86.19,1
SC000738,SUP0047,2021,2,96.38,95.93,89.07,93.85,70.68,91.96,5
SC000739,SUP0047,2021,3,80.5,97.7,93.75,92.46,85.96,90.05,5
SC000740,SUP0047,2021,4,66.37,97.06,76.57,86.0,56.53,78.6,0
SC000741,SUP0047,2022,1,57.45,89.36,88.78,89.18,95.33,80.25,1
SC000742,SUP0047,2022,2,80.57,92.55,95.12,82.53,85.17,87.73,1
SC000743,SUP0047,2022,3,68.41,95.72,78.95,69.98,70.81,79.11,1
SC000744,SUP0047,2022,4,60.62,96.48,93.87,93.86,57.02,80.99,4
SC000745,SUP0047,2023,1,86.2,90.37,93.49,95.15,93.2,90.5,5
SC000746,SUP0047,2023,2,89.7,88.88,84.51,85.09,86.04,87.59,5
SC000747,SUP0047,2023,3,62.39,89.29,86.62,87.12,53.36,76.88,4
SC000748,SUP0047,2023,4,73.34,88.72,97.71,75.93,95.03,85.26,3
SC000749,SUP0047,2024,1,92.24,85.03,83.22,86.15,78.78,86.32,4
SC000750,SUP0047,2024,2,72.88,95.75,72.52,61.83,56.05,76.88,4
SC000751,SUP0047,2024,3,68.47,97.08,91.98,75.15,62.96,81.87,0
SC000752,SUP0047,2024,4,94.71,95.7,94.18,91.56,55.39,90.65,3
SC000753,SUP0048,2021,1,78.27,86.71,94.09,78.44,80.72,84.23,0
SC000754,SUP0048,2021,2,59.89,95.37,82.38,94.81,89.66,81.5,0
SC000755,SUP0048,2021,3,59.46,86.27,74.36,63.75,72.42,72.21,5
SC000756,SUP0048,2021,4,91.94,99.46,79.45,84.25,58.82,87.62,1
SC000757,SUP0048,2022,1,83.74,94.93,89.0,84.04,92.68,89.07,0
SC000758,SUP0048,2022,2,78.48,88.86,86.48,83.85,70.73,82.96,4
SC000759,SUP0048,2022,3,85.53,91.97,86.27,85.74,90.01,88.08,2
SC000760,SUP0048,2022,4,61.83,90.76,98.26,61.19,73.29,78.88,1
SC000761,SUP0048,2023,1,63.19,88.21,79.72,89.83,98.23,80.17,0
SC000762,SUP0048,2023,2,93.81,85.92,75.66,81.24,86.63,85.84,4
SC000763,SUP0048,2023,3,91.52,85.23,81.34,78.2,78.16,84.93,4
SC000764,SUP0048,2023,4,98.97,92.35,99.95,61.74,63.08,89.87,4
SC000765,SUP0048,2024,1,79.15,99.25,94.7,64.18,93.25,88.2,0
SC000766,SUP0048,2024,2,81.3,95.14,88.83,95.31,86.6,88.89,1
SC000767,SUP0048,2024,3,70.67,88.99,82.3,96.38,75.45,81.54,3
SC000768,SUP0048,2024,4,82.6,91.52,83.49,67.46,57.09,81.39,0
SC000769,SUP0049,2021,1,57.01,93.74,76.28,63.92,78.09,74.68,2
SC000770,SUP0049,2021,2,84.49,97.89,90.19,64.8,79.89,87.22,3
SC000771,SUP0049,2021,3,92.31,98.27,92.38,86.91,54.66,89.81,5
SC000772,SUP0049,2021,4,92.95,88.64,81.81,66.01,92.89,86.73,2
SC000773,SUP0049,2022,1,68.6,92.42,90.12,74.07,62.7,80.01,4
SC000774,SUP0049,2022,2,70.43,96.81,74.29,76.59,56.67,78.36,0
SC000775,SUP0049,2022,3,66.45,85.51,95.55,95.03,60.76,80.28,4
SC000776,SUP0049,2022,4,81.99,94.28,85.12,94.83,54.52,84.84,3
SC000777,SUP0049,2023,1,69.43,98.86,90.06,99.39,67.71,85.21,2
SC000778,SUP0049,2023,2,74.44,92.36,76.44,69.26,97.74,82.03,1
SC000779,SUP0049,2023,3,71.14,87.05,94.28,95.01,87.07,84.52,3
SC000780,SUP0049,2023,4,92.78,95.41,92.39,64.72,77.2,89.13,2
SC000781,SUP0049,2024,1,91.21,87.96,84.76,74.51,90.97,87.25,2
SC000782,SUP0049,2024,2,76.47,92.74,97.65,91.49,68.35,86.28,2
SC000783,SUP0049,2024,3,88.76,92.82,91.53,81.57,65.01,87.44,3
SC000784,SUP0049,2024,4,77.26,98.05,85.09,90.92,64.19,85.12,5
SC000785,SUP0050,2021,1,70.72,98.2,88.72,71.3,57.6,81.31,1
SC000786,SUP0050,2021,2,98.43,95.87,90.67,99.92,80.36,94.45,4
SC000787,SUP0050,2021,3,59.35,92.56,96.23,90.0,80.13,81.83,5
SC000788,SUP0050,2021,4,72.26,98.48,87.13,73.17,78.18,83.78,5
SC000789,SUP0050,2022,1,66.1,91.53,92.55,60.14,89.5,80.76,5
SC000790,SUP0050,2022,2,56.99,98.37,85.87,99.39,91.84,82.91,1
SC000791,SUP0050,2022,3,95.44,99.47,80.53,61.87,75.04,88.27,4
SC000792,SUP0050,2022,4,66.27,90.18,98.79,86.53,61.86,81.53,0
SC000793,SUP0050,2023,1,90.49,88.51,88.49,72.8,91.19,87.8,5
SC000794,SUP0050,2023,2,61.2,88.91,76.83,69.54,56.48,73.0,2
SC000795,SUP0050,2023,3,56.81,87.7,98.02,71.31,94.49,79.54,1
SC000796,SUP0050,2023,4,79.01,99.92,72.6,71.97,90.94,84.49,0
SC000797,SUP0050,2024,1,62.41,85.81,85.13,66.85,74.29,75.61,3
SC000798,SUP0050,2024,2,92.29,85.78,79.58,69.57,83.36,84.63,2
SC000799,SUP0050,2024,3,82.48,94.8,95.44,97.61,97.75,91.81,3
SC000800,SUP0050,2024,4,69.33,90.57,99.74,67.5,64.89,81.16,2
SC000801,SUP0051,2021,1,89.9,95.39,76.26,65.35,92.53,86.63,2
SC000802,SUP0051,2021,2,74.26,97.57,88.33,90.4,97.96,88.05,4
SC000803,SUP0051,2021,3,96.02,98.95,94.5,92.92,95.43,96.23,4
SC000804,SUP0051,2021,4,64.41,98.92,74.5,64.72,76.99,78.07,1
SC000805,SUP0051,2022,1,64.29,89.03,85.26,89.62,64.23,78.43,1
SC000806,SUP0051,2022,2,58.25,97.11,73.19,87.66,60.57,76.07,1
SC000807,SUP0051,2022,3,56.09,90.02,82.09,71.87,64.47,73.89,2
SC000808,SUP0051,2022,4,58.28,97.05,75.05,81.74,72.79,77.06,1
SC000809,SUP0051,2023,1,65.02,85.2,76.38,84.6,71.48,75.95,0
SC000810,SUP0051,2023,2,66.53,94.32,91.1,65.92,90.74,82.14,3
SC000811,SUP0051,2023,3,56.32,87.47,77.83,79.14,85.12,75.13,1
SC000812,SUP0051,2023,4,98.16,95.57,73.56,80.3,88.59,89.72,0
SC000813,SUP0051,2024,1,88.65,94.76,88.15,75.16,61.17,86.29,3
SC000814,SUP0051,2024,2,72.92,88.05,92.95,66.97,60.5,79.63,3
SC000815,SUP0051,2024,3,95.8,88.35,86.92,74.06,97.67,89.8,4
SC000816,SUP0051,2024,4,61.91,90.69,77.7,98.81,97.97,81.0,0
SC000817,SUP0052,2021,1,96.91,90.16,92.61,65.72,81.47,89.36,2
SC000818,SUP0052,2021,2,70.29,94.27,73.99,70.1,72.79,78.45,2
SC000819,SUP0052,2021,3,67.17,96.83,89.96,86.11,83.84,84.19,2
SC000820,SUP0052,2021,4,79.17,98.8,76.82,82.95,95.78,86.63,2
SC000821,SUP0052,2022,1,85.65,92.6,83.06,98.58,54.59,85.4,2
SC000822,SUP0052,2022,2,70.5,88.32,70.32,62.81,60.29,74.02,1
SC000823,SUP0052,2022,3,78.04,96.07,82.8,76.84,88.91,85.37,4
SC000824,SUP0052,2022,4,74.3,90.12,90.72,82.12,94.61,85.14,3
SC000825,SUP0052,2023,1,70.73,99.48,87.49,74.43,90.03,85.01,2
SC000826,SUP0052,2023,2,77.97,91.7,89.71,64.16,95.01,84.76,1
SC000827,SUP0052,2023,3,99.53,97.97,92.48,68.47,89.98,93.59,4
SC000828,SUP0052,2023,4,93.41,95.23,81.67,95.03,85.13,90.94,0
SC000829,SUP0052,2024,1,86.29,89.98,91.52,87.35,94.43,89.36,5
SC000830,SUP0052,2024,2,78.24,86.81,86.05,89.91,74.21,83.14,2
SC000831,SUP0052,2024,3,74.04,92.39,81.25,90.98,50.62,80.34,3
SC000832,SUP0052,2024,4,56.81,93.88,89.96,78.86,74.47,78.53,3
SC000833,SUP0053,2021,1,56.3,99.25,70.12,77.75,77.45,76.21,3
SC000834,SUP0053,2021,2,67.91,92.04,79.34,98.25,53.4,79.02,5
SC000835,SUP0053,2021,3,82.46,97.53,78.28,66.59,63.54,82.67,5
SC000836,SUP0053,2021,4,99.87,93.41,70.97,81.65,78.85,88.23,4
SC000837,SUP0053,2022,1,98.13,98.27,82.81,61.26,57.01,87.31,4
SC000838,SUP0053,2022,2,73.81,89.82,83.74,85.81,87.47,83.17,2
SC000839,SUP0053,2022,3,83.04,99.14,75.86,72.16,73.1,84.35,2
SC000840,SUP0053,2022,4,80.08,87.53,93.25,62.82,51.54,80.37,0
SC000841,SUP0053,2023,1,62.0,97.81,84.59,62.68,59.79,77.11,3
SC000842,SUP0053,2023,2,92.33,95.03,90.15,94.73,87.87,92.5,5
SC000843,SUP0053,2023,3,87.84,86.69,94.02,75.42,81.62,86.87,1
SC000844,SUP0053,2023,4,79.46,97.78,87.54,64.77,53.25,82.48,0
SC000845,SUP0053,2024,1,80.01,92.04,79.5,91.17,94.5,86.08,2
SC000846,SUP0053,2024,2,74.96,86.42,91.96,65.41,55.48,78.89,1
SC000847,SUP0053,2024,3,79.9,97.24,89.62,96.52,65.76,87.29,3
SC000848,SUP0053,2024,4,68.19,91.39,78.0,63.93,68.22,76.69,3
SC000849,SUP0054,2021,1,64.52,90.23,77.33,88.59,68.71,77.62,5
SC000850,SUP0054,2021,2,84.69,99.51,90.5,94.73,52.01,88.03,2
SC000851,SUP0054,2021,3,83.69,98.52,77.63,93.39,90.47,88.57,3
SC000852,SUP0054,2021,4,81.44,97.15,93.34,64.05,67.74,85.42,3
SC000853,SUP0054,2022,1,64.01,96.51,82.41,76.55,74.72,79.77,4
SC000854,SUP0054,2022,2,89.79,95.55,88.63,63.2,62.66,85.91,5
SC000855,SUP0054,2022,3,79.1,90.31,94.36,97.08,86.09,88.01,2
SC000856,SUP0054,2022,4,56.5,95.76,94.68,84.55,64.99,79.57,5
SC000857,SUP0054,2023,1,84.28,85.2,74.7,91.57,52.06,80.15,2
SC000858,SUP0054,2023,2,91.19,87.49,97.13,72.6,90.93,89.38,3
SC000859,SUP0054,2023,3,97.13,86.24,93.9,74.69,94.32,90.69,3
SC000860,SUP0054,2023,4,91.59,97.12,83.35,81.97,52.54,86.73,0
SC000861,SUP0054,2024,1,82.89,96.9,70.52,95.97,65.25,84.16,4
SC000862,SUP0054,2024,2,59.87,85.24,83.31,84.81,66.27,75.3,0
SC000863,SUP0054,2024,3,57.75,95.97,92.77,81.19,80.09,80.8,5
SC000864,SUP0054,2024,4,70.18,88.97,93.35,74.77,60.24,79.92,0
SC000865,SUP0055,2021,1,76.8,97.14,77.47,96.23,70.31,84.33,3
SC000866,SUP0055,2021,2,72.77,91.4,96.41,99.22,70.86,85.54,5
SC000867,SUP0055,2021,3,98.61,87.9,93.75,90.59,86.27,92.39,4
SC000868,SUP0055,2021,4,87.3,85.81,98.0,87.93,50.58,85.38,0
SC000869,SUP0055,2022,1,57.45,91.23,71.3,84.99,88.84,76.25,3
SC000870,SUP0055,2022,2,66.96,96.86,96.6,91.77,74.58,85.1,4
SC000871,SUP0055,2022,3,69.33,85.96,72.88,70.93,69.32,75.19,4
SC000872,SUP0055,2022,4,89.91,86.13,88.17,98.39,51.73,85.46,1
SC000873,SUP0055,2023,1,63.52,95.55,89.02,99.01,81.53,83.58,1
SC000874,SUP0055,2023,2,66.47,87.54,94.66,71.18,94.0,81.65,2
SC000875,SUP0055,2023,3,87.17,85.01,98.6,83.93,88.94,88.66,2
SC000876,SUP0055,2023,4,62.4,95.26,73.56,74.72,79.69,77.45,3
SC000877,SUP0055,2024,1,88.22,94.31,99.13,74.77,92.05,91.27,4
SC000878,SUP0055,2024,2,59.42,86.01,87.58,89.53,56.45,75.74,1
SC000879,SUP0055,2024,3,59.32,97.4,92.9,86.71,53.28,79.59,3
SC000880,SUP0055,2024,4,80.71,95.04,98.26,99.08,99.18,92.2,1
SC000881,SUP0056,2021,1,82.88,93.78,82.77,78.68,55.81,83.0,1
SC000882,SUP0056,2021,2,84.62,96.22,95.92,80.05,70.76,88.52,1
SC000883,SUP0056,2021,3,80.69,98.38,96.79,74.94,78.11,88.38,4
SC000884,SUP0056,2021,4,92.24,92.69,89.96,97.63,98.61,93.1,4
SC000885,SUP0056,2022,1,95.15,97.42,99.64,65.59,68.67,91.12,3
SC000886,SUP0056,2022,2,77.12,88.11,94.19,73.79,82.68,84.05,0
SC000887,SUP0056,2022,3,62.34,88.98,82.57,67.2,83.03,76.93,5
SC000888,SUP0056,2022,4,72.88,90.15,77.4,67.67,65.83,77.74,3
SC000889,SUP0056,2023,1,89.38,94.72,92.5,94.94,55.15,88.74,5
SC000890,SUP0056,2023,2,90.83,99.57,99.45,89.3,57.47,91.69,1
SC000891,SUP0056,2023,3,57.74,91.59,98.28,69.66,55.4,76.96,4
SC000892,SUP0056,2023,4,92.54,91.0,94.05,74.63,85.67,89.9,2
SC000893,SUP0056,2024,1,56.09,97.01,86.0,80.51,97.83,80.96,2
SC000894,SUP0056,2024,2,64.06,91.94,71.99,70.28,90.05,77.23,2
SC000895,SUP0056,2024,3,87.56,97.67,72.61,72.97,87.22,86.11,2
SC000896,SUP0056,2024,4,76.71,85.64,93.82,88.17,90.69,85.36,5
SC000897,SUP0057,2021,1,64.9,99.01,70.13,61.36,75.93,76.93,5
SC000898,SUP0057,2021,2,63.59,95.14,96.43,99.74,65.87,83.47,2
SC000899,SUP0057,2021,3,76.96,97.65,82.44,64.52,99.35,85.26,5
SC000900,SUP0057,2021,4,72.26,86.99,70.37,87.66,73.45,77.96,0
SC000901,SUP0057,2022,1,80.94,96.3,97.12,91.2,79.37,89.65,0
SC000902,SUP0057,2022,2,65.74,87.63,80.44,64.05,65.83,75.09,2
SC000903,SUP0057,2022,3,93.71,90.56,89.05,75.72,93.83,90.05,0
SC000904,SUP0057,2022,4,66.95,92.8,79.09,81.64,99.11,81.82,5
SC000905,SUP0057,2023,1,82.44,93.41,91.33,66.52,52.05,82.88,2
SC000906,SUP0057,2023,2,99.79,91.97,95.23,60.48,60.76,88.7,5
SC000907,SUP0057,2023,3,96.7,85.17,91.69,64.78,96.83,89.06,2
SC000908,SUP0057,2023,4,81.65,92.16,72.69,71.59,67.78,80.62,2
SC000909,SUP0057,2024,1,60.39,88.15,71.73,70.39,78.68,73.81,0
SC000910,SUP0057,2024,2,86.12,91.08,94.23,86.73,60.33,86.71,1
SC000911,SUP0057,2024,3,56.82,95.85,74.36,73.85,89.5,77.01,3
SC000912,SUP0057,2024,4,61.94,92.89,96.07,91.23,56.07,80.39,1
SC000913,SUP0058,2021,1,80.76,88.2,81.9,93.04,80.19,84.39,5
SC000914,SUP0058,2021,2,62.1,85.35,99.36,80.34,72.25,79.37,1
SC000915,SUP0058,2021,3,93.19,98.55,97.25,86.33,93.66,94.97,5
SC000916,SUP0058,2021,4,83.66,97.34,77.97,86.14,55.81,84.09,2
SC000917,SUP0058,2022,1,78.42,93.92,70.13,82.5,81.38,82.12,4
SC000918,SUP0058,2022,2,96.91,89.1,96.8,82.88,82.66,91.72,4
SC000919,SUP0058,2022,3,89.33,99.35,70.27,64.68,68.37,83.96,0
SC000920,SUP0058,2022,4,66.83,98.49,87.33,73.33,68.86,81.28,2
SC000921,SUP0058,2023,1,93.48,92.55,92.65,76.99,84.57,90.49,3
SC000922,SUP0058,2023,2,97.97,93.18,95.83,71.35,85.87,92.23,2
SC000923,SUP0058,2023,3,74.28,94.54,86.44,69.08,72.74,82.12,3
SC000924,SUP0058,2023,4,67.07,93.78,70.37,96.74,82.92,80.29,0
SC000925,SUP0058,2024,1,85.48,99.05,91.14,90.26,51.64,87.78,3
SC000926,SUP0058,2024,2,68.75,92.05,72.9,93.6,74.92,79.67,1
SC000927,SUP0058,2024,3,90.66,85.01,73.65,91.66,53.01,81.9,1
SC000928,SUP0058,2024,4,56.1,97.37,99.25,98.09,66.71,82.37,5
SC000929,SUP0059,2021,1,85.83,91.51,80.98,79.28,65.67,83.89,2
SC000930,SUP0059,2021,2,67.32,89.04,89.52,60.59,83.27,79.2,5
SC000931,SUP0059,2021,3,91.86,95.75,91.55,92.2,97.13,93.53,2
SC000932,SUP0059,2021,4,80.31,94.02,83.32,72.7,64.89,82.72,0
SC000933,SUP0059,2022,1,66.21,91.79,85.36,63.88,96.73,80.53,0
SC000934,SUP0059,2022,2,76.29,93.89,72.14,66.38,92.17,81.34,4
SC000935,SUP0059,2022,3,81.95,96.86,80.15,89.88,88.55,87.52,3
SC000936,SUP0059,2022,4,75.4,94.64,90.37,61.86,74.32,82.7,0
SC000937,SUP0059,2023,1,80.13,90.61,86.02,95.84,57.41,83.75,0
SC000938,SUP0059,2023,2,61.51,98.29,90.74,92.67,63.2,81.67,5
SC000939,SUP0059,2023,3,86.46,97.34,80.2,80.83,58.69,85.13,3
SC000940,SUP0059,2023,4,79.25,90.68,80.47,75.67,83.94,83.03,5
SC000941,SUP0059,2024,1,91.47,85.9,80.51,65.35,50.16,80.86,2
SC000942,SUP0059,2024,2,58.5,92.34,79.4,78.27,68.6,75.82,5
SC000943,SUP0059,2024,3,70.6,97.91,82.2,94.4,84.35,84.87,3
SC000944,SUP0059,2024,4,87.12,99.73,97.92,86.23,83.99,92.66,4
SC000945,SUP0060,2021,1,84.44,91.36,98.68,82.45,95.75,90.3,4
SC000946,SUP0060,2021,2,82.93,89.89,87.77,69.76,92.07,85.58,5
SC000947,SUP0060,2021,3,59.13,94.62,95.85,85.01,73.33,81.13,4
SC000948,SUP0060,2021,4,58.63,97.61,88.76,60.47,64.09,77.08,0
SC000949,SUP0060,2022,1,80.76,93.83,74.78,79.86,61.74,81.49,2
SC000950,SUP0060,2022,2,94.98,92.88,98.22,80.32,92.21,93.25,0
SC000951,SUP0060,2022,3,88.6,98.51,79.29,68.18,99.67,88.78,4
SC000952,SUP0060,2022,4,97.8,95.31,79.83,84.51,82.33,90.58,4
SC000953,SUP0060,2023,1,90.89,96.49,91.79,68.81,60.61,87.51,3
SC000954,SUP0060,2023,2,78.52,87.72,99.06,86.49,66.47,84.98,1
SC000955,SUP0060,2023,3,97.86,85.87,93.27,62.67,86.36,88.68,3
SC000956,SUP0060,2023,4,60.11,97.44,82.67,95.49,73.26,80.67,1
SC000957,SUP0060,2024,1,98.54,86.56,76.5,61.94,87.79,85.8,3
SC000958,SUP0060,2024,2,64.91,99.07,93.95,84.7,53.39,81.79,2
SC000959,SUP0060,2024,3,64.19,92.69,74.06,61.45,81.79,76.2,5
SC000960,SUP0060,2024,4,70.08,97.99,71.1,73.15,53.23,77.28,2
SC000961,SUP0061,2021,1,90.77,89.6,80.52,73.56,74.68,85.04,2
SC000962,SUP0061,2021,2,92.31,92.56,78.31,82.61,57.45,85.13,3
SC000963,SUP0061,2021,3,91.71,90.25,74.53,73.41,57.71,82.61,0
SC000964,SUP0061,2021,4,80.14,97.06,83.04,81.11,64.9,84.37,5
SC000965,SUP0061,2022,1,99.9,96.68,71.66,95.2,53.58,88.18,1
SC000966,SUP0061,2022,2,77.05,90.38,92.53,83.77,79.03,85.02,3
SC000967,SUP0061,2022,3,80.84,91.27,94.03,84.44,50.01,83.88,5
SC000968,SUP0061,2022,4,73.91,93.54,73.81,85.71,62.49,79.82,5
SC000969,SUP0061,2023,1,92.51,97.1,78.48,65.64,50.32,84.17,2
SC000970,SUP0061,2023,2,77.42,87.99,98.52,79.61,74.21,84.71,2
SC000971,SUP0061,2023,3,92.98,95.65,84.78,91.31,92.34,91.91,4
SC000972,SUP0061,2023,4,84.16,90.75,96.1,74.66,87.45,87.9,0
SC000973,SUP0061,2024,1,84.84,90.49,81.45,79.37,95.63,86.39,2
SC000974,SUP0061,2024,2,73.37,92.62,95.11,99.25,63.81,85.12,1
SC000975,SUP0061,2024,3,65.51,90.28,99.47,83.75,72.84,82.29,0
SC000976,SUP0061,2024,4,87.16,99.61,71.03,94.89,73.22,87.05,1
SC000977,SUP0062,2021,1,69.87,91.3,91.96,93.81,60.68,82.19,2
SC000978,SUP0062,2021,2,74.88,86.73,96.76,79.08,90.9,84.83,3
SC000979,SUP0062,2021,3,83.57,98.34,81.97,76.67,60.26,84.66,0
SC000980,SUP0062,2021,4,90.4,86.79,76.09,85.74,70.77,84.03,3
SC000981,SUP0062,2022,1,86.28,89.34,81.12,70.31,79.55,83.9,2
SC000982,SUP0062,2022,2,76.5,93.46,97.24,67.27,98.48,87.01,0
SC000983,SUP0062,2022,3,94.02,85.46,98.83,98.79,60.32,89.52,3
SC000984,SUP0062,2022,4,75.0,96.42,96.91,77.92,74.23,86.02,1
SC000985,SUP0062,2023,1,93.31,86.75,72.44,88.6,98.32,87.2,1
SC000986,SUP0062,2023,2,66.35,92.51,83.36,77.17,76.41,79.69,0
SC000987,SUP0062,2023,3,88.23,98.73,73.43,83.16,85.22,87.61,0
SC000988,SUP0062,2023,4,57.71,91.0,75.3,93.32,80.94,77.1,1
SC000989,SUP0062,2024,1,72.3,90.51,95.09,72.9,61.93,81.34,3
SC000990,SUP0062,2024,2,80.62,98.85,98.93,96.3,94.75,92.73,0
SC000991,SUP0062,2024,3,56.21,94.46,82.42,95.12,66.52,77.85,4
SC000992,SUP0062,2024,4,73.47,92.04,89.07,94.88,52.28,82.18,4
